fall,fahrergewicht_kg,cw_a,rollwiderstand,raddurchmesser_zoll,energiebedarf_wh,max_leistung_w,durchschnittsleistung_w,max_motorstrom_a
Fahrergewicht 60 kg,60.0,0.5625,0.008,27.0,753.5510354936852,8582.755244513939,222.89524916989268,247.5086228916332
Fahrergewicht 70 kg,70.0,0.5625,0.008,27.0,787.6617593741939,9784.34607374934,229.65600176563785,282.1599770256532
Fahrergewicht 80 kg,80.0,0.5625,0.008,27.0,823.7144750739336,10985.936902984746,237.57294368266292,316.8113311596733
Fahrergewicht 90 kg,90.0,0.5625,0.008,27.0,861.1970707321526,12187.527732220151,246.2957464628587,351.46268529369337
Fahrergewicht 100 kg,100.0,0.5625,0.008,27.0,900.4799624607729,13389.118561455552,255.78477338537613,386.11403942771335
cwA 0.45,70.0,0.45,0.008,27.0,688.9576565857221,9750.022185776117,197.036597170287,281.17014823495464
cwA 0.5625,70.0,0.5625,0.008,27.0,787.6617593741939,9784.34607374934,229.65600176563785,282.1599770256532
cwA 0.7,70.0,0.7,0.008,27.0,915.6078320042446,9826.29749238328,273.72837107854286,283.3697677698404
Rollwiderstand 0.004,70.0,0.5625,0.004,27.0,710.9438738675917,9759.462354760184,210.02314615472216,281.4423828680701
Rollwiderstand 0.008,70.0,0.5625,0.008,27.0,787.6617593741939,9784.34607374934,229.65600176563785,282.1599770256532
Rollwiderstand 0.012,70.0,0.5625,0.012,27.0,865.0662646546274,9809.2297927385,249.6610764231972,282.87757118323634
Raddurchmesser 26 Zoll,70.0,0.5625,0.008,26.0,787.6617593741939,9784.34607374934,229.65600176563785,271.70960750618457
Raddurchmesser 27 Zoll,70.0,0.5625,0.008,27.0,787.6617593741939,9784.34607374934,229.65600176563785,282.1599770256532
Raddurchmesser 29 Zoll,70.0,0.5625,0.008,29.0,787.6617593741939,9784.34607374934,229.65600176563785,303.06071606459045
